matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
2H,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,0,0,1,4,0,0,0,0,0,0,0,0,Goalkeeper,1
1H,14,13,1,2,1,1,1,1,0,2,2,0,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Defender,1
1H,7,4,3,0,0,0,1,0,1,8,2,6,15,2,6,0,2,0,0,0,1,0,1,2,0,2,0,0,0,0,Forward,1
1H,16,16,0,0,0,0,1,1,0,1,1,0,12,5,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Defender,1
E2,1,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ForwardSubstitute,1
1H,16,15,1,1,0,1,0,0,0,1,0,1,10,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Forward,1
2H,28,25,3,1,1,0,0,0,0,0,0,0,7,1,3,3,0,1,0,1,2,0,0,1,0,1,0,0,0,0,Midfielder,1
1H,28,25,3,0,0,0,4,1,3,0,0,0,4,1,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Defender,1
1H,16,15,1,0,0,0,3,3,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
1H,44,40,4,0,0,0,3,3,0,7,5,2,5,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,Defender,1
1H,9,3,6,4,1,3,0,0,0,3,2,1,13,7,1,3,0,3,3,0,0,0,1,1,0,1,0,0,0,0,Midfielder,1
